SpeciesID,CommonName,ScientificName,species_definition,taxonomic_source,taxonomic_id,kingdom,phylum,class,order,family,genus,rank,new_scientificName,new_scientificNameID,new_kingdom,new_phylum,new_class,new_order,new_family,new_genus,new_rank,match_type
C6,Lithoid Crabs,Lithodidae,"lithoid crab, not identified beyond the family level",WoRMS,106737,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,,Family,Lithodidae,106737.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,,Family,exact
C61,Heart Crab,Phyllolithodes papillosus,Phyllolithodes papillosus,WoRMS,550606,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Phyllolithodes,Species,Phyllolithodes papillosus,550606.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Phyllolithodes,Species,exact
C62,Furry Crab,Hapalogaster cavicauda,Hapalogaster cavicauda,WoRMS,590108,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Hapalogaster,Species,Hapalogaster cavicauda,590108.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Hapalogaster,Species,exact
C71,Purple shore crab,Hemigrapsus nudus,Hemigrapsus nudus,WoRMS,444776,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Species,Hemigrapsus nudus,444776.0,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Species,exact
C72,Lined Shore crab,Pachygrapsus crassipes,Pachygrapsus crassipes,WoRMS,395016,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Species,Pachygrapsus crassipes,395016.0,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Species,exact
C8,Sheep Crab,Loxorhynchus grandis,Loxorhynchus grandis,WoRMS,441602,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,Loxorhynchus grandis,441602.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,exact
C81,Masking crab,Loxorhynchus crispatus,Loxorhynchus crispatus,WoRMS,441601,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,Loxorhynchus crispatus,441601.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,exact
DA1,Dead Red Abalone,Haliotis rufescens,"Haliotus refuscens, sick/dead or empty shells. Code used following the 2011 harmful algal bloom event",WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
DA11,Dying Red Abalone,Haliotis rufescens,"Unattached Haliotus refuscens, responsive but not attached. After 2017 REAS surveys",WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
DA12,Dead Red Abalone (with meat),Haliotis rufescens,Haliotus refuscens shell with meat (freshly dead). After 2017 REAS surveys,WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
DC3,Dead Kelp Crab,Pugettia spp.,Sick/Dead kelp crab not identified beyond the genus level. Code used following the 2011 harmful algal bloom event.,WoRMS,240779,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Genus,Pugettia,240779.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Genus,exact
DG11,Dead Gumboot Chiton,Cryptochiton stelleri,Sick/Dead gumboot chiton. Code used following the 2011 harmful algal bloom event.,WoRMS,240776,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,Cryptochiton stelleri,240776.0,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,exact
DS1,Dead Pisaster species,Pisaster spp.,Sick/Dead Pisaster spp. not identified beyond genus level. Code used following the 2011 harmful algal bloom event.,WoRMS,240754,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Genus,Pisaster,240754.0,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Genus,exact
DS2,Dead Solaster species,Solaster spp.,Sick/Dead Solaster spp. not identified beyond genus level. Code used following the 2011 harmful algal bloom event.,WoRMS,123338,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Genus,Solaster,123338.0,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Genus,exact
DS31,Dead Leather Star,Dermasterias imbricata,Sick/Dead leather star. Code used following the 2011 harmful algal bloom event.,WoRMS,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Species,Dermasterias imbricata,240771.0,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Species,exact
DS61,Dead Bat Star,Patiria miniata,Sick/Dead bat star. Code used following the 2011 harmful algal bloom event.,WoRMS,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Species,Patiria miniata,382131.0,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Species,exact
